sweeps,beta,magnetisation,energy,G,seed
587,0.4,0.21125,-2.27,0.57,0
588,0.4,0.21875,-2.155,0.5425,0
589,0.4,0.1825,-2.165,0.55,0
590,0.4,0.17375,-2.22,0.5525,0
591,0.4,0.16375,-2.205,0.55,0
592,0.4,0.18125,-2.305,0.5725,0
593,0.4,0.1725,-2.385,0.595,0
594,0.4,0.1625,-2.355,0.575,0
595,0.4,0.1675,-2.35,0.5825,0
596,0.4,0.1725,-2.16,0.5425,0
597,0.4,0.14375,-2.23,0.565,0
598,0.4,0.11125,-2.375,0.6075,0
599,0.4,0.15625,-2.265,0.575,0
600,0.4,0.15375,-2.28,0.565,0
601,0.4,0.16375,-2.295,0.57,0
602,0.4,0.1675,-2.39,0.5925,0
603,0.4,0.1725,-2.23,0.5375,0
604,0.4,0.2175,-2.2,0.54,0
605,0.4,0.2675,-2.28,0.585,0
606,0.4,0.255,-2.25,0.565,0
607,0.4,0.27625,-2.305,0.585,0
608,0.4,0.2675,-2.29,0.555,0
609,0.4,0.24,-2.295,0.57,0
610,0.4,0.1875,-2.27,0.5575,0
611,0.4,0.2075,-2.34,0.5725,0
612,0.4,0.12625,-2.295,0.55,0
613,0.4,0.13625,-2.28,0.56,0
614,0.4,0.13625,-2.125,0.5275,0
615,0.4,0.11875,-2.295,0.575,0
616,0.4,0.10875,-2.22,0.555,0
617,0.4,0.11,-2.235,0.5475,0
618,0.4,0.07375,-2.03,0.5,0
619,0.4,0.05625,-2.19,0.5375,0
620,0.4,0.07625,-2.175,0.5375,0
621,0.4,0.065,-2.03,0.5,0
622,0.4,0.0775,-1.95,0.4875,0
623,0.4,0.0475,-1.985,0.51,0
624,0.4,0.1025,-1.94,0.485,0
625,0.4,0.155,-1.83,0.4425,0
626,0.4,0.13125,-2.085,0.515,0
627,0.4,0.14375,-2.185,0.55,0
628,0.4,0.08125,-2.195,0.5575,0
629,0.4,0.0525,-2.165,0.545,0
630,0.4,0.0475,-2.19,0.53,0
631,0.4,0.07375,-2.125,0.54,0
632,0.4,0.04,-2.175,0.545,0
633,0.4,0.06875,-2.235,0.5525,0
634,0.4,0.07625,-2.18,0.55,0
635,0.4,0.0475,-2.07,0.5075,0
636,0.4,0.0975,-2.18,0.5425,0
637,0.4,0.1725,-2.225,0.555,0
638,0.4,0.16125,-2.15,0.5325,0
639,0.4,0.19,-2.175,0.545,0
640,0.4,0.235,-2.25,0.54,0
641,0.4,0.225,-2.27,0.5575,0
642,0.4,0.23625,-2.285,0.5625,0
643,0.4,0.21625,-2.295,0.5475,0
644,0.4,0.19,-2.255,0.54,0
645,0.4,0.2425,-2.15,0.5325,0
646,0.4,0.26375,-2.295,0.5675,0
647,0.4,0.24375,-2.18,0.5475,0
648,0.4,0.2475,-2.33,0.59,0
649,0.4,0.22625,-2.165,0.535,0
650,0.4,0.21625,-2.335,0.57,0
651,0.4,0.19625,-2.285,0.5775,0
652,0.4,0.20125,-2.255,0.5825,0
653,0.4,0.1825,-2.315,0.58,0
654,0.4,0.19375,-2.385,0.6175,0
655,0.4,0.22875,-2.43,0.595,0
656,0.4,0.225,-2.455,0.625,0
657,0.4,0.18625,-2.39,0.6025,0
658,0.4,0.20875,-2.215,0.545,0
659,0.4,0.16125,-2.275,0.565,0
660,0.4,0.13125,-2.245,0.565,0
661,0.4,0.18375,-2.395,0.6275,0
662,0.4,0.18,-2.3,0.57,0
663,0.4,0.12875,-2.235,0.56,0
664,0.4,0.11375,-2.225,0.565,0
665,0.4,0.125,-2.215,0.535,0
666,0.4,0.13125,-2.225,0.5425,0
667,0.4,0.12375,-2.24,0.54,0
668,0.4,0.0975,-2.21,0.535,0
669,0.4,0.10375,-2.245,0.5675,0
670,0.4,0.12375,-2.215,0.5575,0
671,0.4,0.1175,-2.41,0.605,0
672,0.4,0.0875,-2.435,0.5975,0
673,0.4,0.11875,-2.475,0.595,0
674,0.4,0.13,-2.38,0.5925,0
675,0.4,0.15875,-2.31,0.5875,0
676,0.4,0.145,-2.305,0.5825,0
677,0.4,0.12875,-2.21,0.535,0
678,0.4,0.12,-2.115,0.52,0
679,0.4,0.13375,-2.17,0.565,0
680,0.4,0.17375,-2.145,0.545,0
681,0.4,0.19625,-2.29,0.5725,0
682,0.4,0.18875,-2.225,0.5375,0
683,0.4,0.225,-2.12,0.5425,0
684,0.4,0.2175,-2.165,0.5575,0
685,0.4,0.235,-2.115,0.5225,0
686,0.4,0.22375,-2.23,0.5675,0
